               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/Bishop_mAP,    metrics/King_mAP,    metrics/Pawn_mAP,    metrics/Rook_mAP,  metrics/Knight_mAP,   metrics/Queen_mAP,metrics/Bishop_mAP_50, metrics/King_mAP_50, metrics/Pawn_mAP_50, metrics/Rook_mAP_50,metrics/Knight_mAP_50,metrics/Queen_mAP_50
                   0,             0.12372,            0.093208,            0.056634,          0.00035842,           0.0034014,          0.00022599,            0.000113,             0.11214,            0.059074,            0.060822,              0.0991,              0.0001,              0.0001,                   0,                   0,          0.00067797,                   0,                   0,                   0,                   0,                   0,           0.0013559,                   0,                   0,                   0
                   1,              0.1201,            0.085773,            0.057561,          0.00073746,           0.0068027,          0.00045774,          0.00018096,             0.10986,            0.060435,            0.060483,            0.097297,          0.00029703,          0.00029703,                   0,                   0,           0.0010858,                   0,                   0,                   0,                   0,                   0,           0.0027464,                   0,                   0,                   0
                   2,             0.11713,             0.12558,            0.056327,           0.0010373,            0.010204,          0.00071187,          0.00020151,             0.10633,            0.062623,             0.05985,             0.09549,           0.0004901,           0.0004901,                   0,                   0,           0.0012091,                   0,                   0,                   0,                   0,                   0,           0.0042712,                   0,                   0,                   0
                   3,             0.11642,             0.11289,            0.056714,           0.0021413,            0.020408,           0.0012092,          0.00032912,             0.10149,            0.065705,            0.059006,            0.093679,          0.00067921,          0.00067921,                   0,                   0,           0.0019747,                   0,                   0,                   0,                   0,                   0,           0.0072552,                   0,                   0,                   0
                   4,             0.11145,             0.10426,            0.056026,           0.0054638,             0.17782,            0.011052,           0.0014119,            0.095672,            0.069237,            0.057925,            0.091864,          0.00086436,          0.00086436,                   0,                   0,           0.0016416,           0.0042345,                   0,           0.0025951,                   0,                   0,           0.0079082,            0.036889,                   0,            0.021512
                   5,             0.10544,             0.13197,            0.054651,            0.010812,             0.35353,            0.038569,           0.0080055,            0.090067,            0.071923,            0.056898,            0.090046,           0.0010455,           0.0010455,           0.0030557,            0.013901,            0.006288,            0.013515,                   0,            0.011274,           0.0077972,            0.069978,            0.023395,            0.070904,                   0,            0.059341
                   6,              0.1052,             0.15439,            0.053641,             0.01184,              0.2058,            0.084408,            0.024418,             0.08649,            0.072508,            0.056505,            0.088223,           0.0012228,           0.0012228,                   0,             0.07105,           0.0079886,                   0,                   0,             0.06747,                   0,             0.24146,             0.04367,                   0,                   0,             0.22132
                   7,             0.10059,             0.14934,            0.052807,           0.0066888,             0.14566,            0.077412,            0.017255,            0.083776,            0.069987,            0.055669,            0.086396,            0.001396,            0.001396,                   0,            0.082891,           0.0002082,                   0,                   0,             0.02043,                   0,             0.29869,            0.002082,                   0,                   0,              0.1637
                   8,            0.097149,             0.14007,            0.052555,           0.0081571,             0.14074,            0.057956,            0.013434,            0.081703,            0.069108,            0.055085,            0.084565,           0.0015654,           0.0015654,                   0,            0.074933,           0.0012733,                   0,                   0,           0.0043981,                   0,             0.30756,            0.012733,                   0,                   0,            0.027447
                   9,            0.091279,             0.11862,            0.052003,           0.0088884,             0.14495,            0.059857,            0.016502,            0.078315,             0.06854,            0.054629,            0.082731,           0.0017307,           0.0017307,                   0,            0.090343,           0.0051593,                   0,                   0,             0.00351,                   0,             0.33341,             0.01225,                   0,                   0,            0.013482
                  10,            0.091912,             0.13862,            0.051457,               0.057,            0.096131,             0.07171,              0.0218,            0.074827,            0.066007,            0.054079,            0.080892,           0.0018921,           0.0018921,                   0,             0.11559,           0.0049356,                   0,                   0,            0.010274,                   0,              0.3479,            0.013067,                   0,                   0,             0.06929
                  11,            0.088527,             0.13244,            0.051169,             0.19514,            0.035525,            0.074289,            0.022264,            0.072242,            0.061492,            0.053111,             0.07905,           0.0020495,           0.0020495,                   0,              0.1124,           0.0090385,                   0,                   0,            0.012146,                   0,             0.35001,            0.021599,                   0,                   0,             0.07413
                  12,             0.08888,             0.16718,            0.048849,            0.034968,             0.09273,            0.032951,            0.012391,            0.072221,            0.061537,            0.052346,            0.077203,            0.002203,            0.002203,                   0,            0.053024,            0.016798,                   0,                   0,            0.004526,                   0,             0.15313,            0.036876,                   0,                   0,           0.0076978
                  13,            0.083411,             0.12874,            0.047043,            0.044368,            0.046226,            0.038062,            0.011259,            0.071473,            0.063919,            0.051764,            0.075353,           0.0023525,           0.0023525,                   0,            0.030683,            0.024728,                   0,                   0,            0.012145,                   0,             0.11852,            0.056146,                   0,                   0,            0.053704
                  14,            0.086137,             0.16271,            0.046921,            0.034421,            0.096097,            0.036757,            0.014078,            0.070312,            0.064043,            0.052028,            0.073498,           0.0024981,           0.0024981,                   0,            0.043434,            0.022512,                   0,                   0,            0.018521,                   0,             0.10716,            0.042453,                   0,                   0,            0.070935
                  15,            0.079697,              0.1134,            0.047924,             0.11994,            0.050642,            0.073398,            0.019144,            0.072475,            0.075124,            0.051734,             0.07164,           0.0026396,           0.0026396,                   0,           0.0064288,            0.022247,                   0,                   0,            0.086187,                   0,            0.036845,            0.073698,                   0,                   0,             0.32985
                  16,            0.078248,             0.11953,            0.044546,            0.022577,             0.18199,            0.028354,           0.0097657,             0.06594,              0.0858,            0.052259,            0.069777,           0.0027773,           0.0027773,                   0,            0.014185,            0.010248,                   0,                   0,            0.034161,                   0,            0.067022,            0.028101,                   0,                   0,            0.075004
                  17,            0.077559,             0.10737,             0.04689,              0.1955,             0.10792,            0.025162,           0.0063624,            0.076123,             0.10132,            0.051967,            0.067911,           0.0029109,           0.0029109,                   0,            0.031355,           0.0068193,                   0,                   0,                   0,                   0,               0.136,             0.01497,                   0,                   0,                   0
                  18,            0.076499,             0.10692,            0.044427,             0.20486,            0.089363,              0.0577,            0.015195,            0.069188,             0.10419,            0.051478,            0.066041,           0.0030407,           0.0030407,                   0,            0.055815,           0.0081055,                   0,                   0,            0.027249,                   0,             0.15286,            0.021783,                   0,                   0,             0.17155
                  19,            0.076971,            0.088387,            0.045718,              0.1977,            0.051484,            0.021743,           0.0055536,            0.072742,              0.1225,            0.050882,            0.064166,           0.0031664,           0.0031664,                   0,            0.026589,           0.0067329,                   0,                   0,                   0,                   0,             0.11176,            0.018695,                   0,                   0,                   0
                  20,            0.077069,             0.12839,            0.042978,             0.38251,            0.074212,            0.046181,             0.01662,            0.066795,             0.12557,            0.050896,            0.062288,           0.0032882,           0.0032882,                   0,            0.077757,            0.021966,                   0,                   0,                   0,                   0,             0.21328,            0.063805,                   0,                   0,                   0
                  21,            0.069074,             0.11033,             0.04282,             0.54222,             0.13393,            0.078055,            0.023478,            0.067696,             0.10612,             0.05045,            0.060406,            0.003406,            0.003406,                   0,            0.074494,             0.05619,                   0,                   0,            0.010185,                   0,             0.15848,             0.25893,                   0,                   0,            0.050925
                  22,            0.074341,             0.11755,            0.042413,            0.030935,             0.27231,            0.056751,            0.019329,            0.073603,            0.094101,            0.049819,             0.05852,           0.0035199,           0.0035199,                   0,            0.034281,            0.045142,                   0,                   0,             0.03655,                   0,             0.12399,             0.10259,                   0,                   0,             0.11393
                  23,            0.076087,              0.1052,            0.040929,             0.91219,             0.10204,             0.12768,            0.021206,            0.077975,            0.095285,             0.04926,             0.05663,           0.0036298,           0.0036298,            0.012382,            0.012483,            0.076064,                   0,                   0,            0.026308,            0.061909,            0.061334,             0.48527,                   0,                   0,             0.15756
                  24,            0.072993,            0.094634,            0.044759,             0.90327,            0.071429,              0.1347,            0.043005,            0.061047,            0.074241,            0.048905,            0.054736,           0.0037358,           0.0037358,                   0,            0.044724,             0.12519,                   0,            0.022585,            0.065528,                   0,             0.17198,             0.43269,                   0,            0.055974,             0.14755
                  25,            0.069084,            0.080985,            0.039849,             0.76235,             0.32313,             0.19312,            0.060447,            0.070788,            0.066556,            0.048293,            0.052838,           0.0038378,           0.0038378,             0.12957,            0.067262,            0.062654,                   0,            0.016122,             0.08707,              0.4975,             0.15586,              0.2246,                   0,            0.060488,             0.22028
                  26,             0.06639,             0.10503,            0.040665,             0.95338,             0.14626,             0.21851,            0.070067,            0.058653,            0.054145,            0.047752,            0.050936,           0.0039358,           0.0039358,             0.06654,             0.05321,             0.23035,                   0,            0.037797,            0.032501,             0.10291,             0.18322,              0.8636,                   0,             0.08467,            0.076623
                  27,            0.071946,             0.10801,            0.041411,             0.95338,             0.14626,             0.21851,            0.070067,            0.058653,            0.054145,            0.047752,             0.04903,           0.0040299,           0.0040299,             0.06654,             0.05321,             0.23035,                   0,            0.037797,            0.032501,             0.10291,             0.18322,              0.8636,                   0,             0.08467,            0.076623
